CUSTOMER,INVENTLOCATIONID,ROUTECONFIGNAME
10115,2122,2122_30_1900
10115,2122,2122_30_2000
10116,2515,2515_10_0800
10116,2515,2515_10_1015
10116,2515,2515_10_1330
10116,2515,2515_10_1500
10116,2515,2515_10_1700
10116,2515,2515_10_1800
10116,2515,2515_10_1900
10116,2515,2515_10_2000
10119,2115,2115_20_0800
10119,2115,2115_20_1000
10119,2115,2115_20_1350
10119,2115,2115_20_1550
10119,2115,2115_20_1700
10119,2115,2115_20_1800
10119,2115,2115_20_1900
10119,2115,2115_20_2000
10119,2115,2115_50_0800
10119,2115,2115_50_1000
10119,2115,2115_50_1350
10119,2115,2115_50_1700
10119,2115,2115_50_1800
10119,2115,2115_50_1900
10119,2115,2115_50_2000
10119,2115,2115_51_1550
10119,2115,2115_51_1700
10119,2115,2115_51_1800
10119,2115,2115_51_1900
10119,2115,2115_51_2000
10119,2310,2310_51_0930
10119,2310,2310_51_1420
10119,2401,2401_10_0645
10119,2401,2401_10_0930
10119,2401,2401_10_1400
10119,2401,2401_10_1700
10119,2401,2401_10_1800
10119,2401,2401_10_1900
10119,2401,2401_10_2000
10119,2401,2401_12_0830
10119,2401,2401_12_1015
10119,2401,2401_12_1500
10119,2511,2511_60_0805
10119,2511,2511_60_1005
10119,2511,2511_60_1315
10119,2511,2511_60_1515
10119,2511,2511_60_1700
10119,2511,2511_60_1800
10119,2511,2511_60_1900
10119,2511,2511_60_2000
10119,2515,2515_10_0800
10119,2515,2515_10_1015
10119,2515,2515_10_1330
10119,2515,2515_10_1500
10119,2515,2515_10_1700
10119,2515,2515_10_1800
10119,2515,2515_10_1900
10119,2515,2515_10_2000
1012,2201,2201_41_0820
1012,2201,2201_42_1015
1012,2201,2201_43_1350
1012,2201,2201_44_1535
1012,2201,2201_44_1700
1012,2201,2201_44_1800
1012,2201,2201_44_1900
1012,2201,2201_44_2000
101209,2522,2522_60_0800
101209,2522,2522_60_1000
101209,2522,2522_60_1330
101209,2522,2522_60_1530
101209,2522,2522_60_1700
101209,2522,2522_60_1800
101209,2522,2522_60_1900
101209,2522,2522_60_2000
10121,2515,2515_10_0800
10121,2515,2515_10_1015
10121,2515,2515_10_1330
10121,2515,2515_10_1500
10121,2515,2515_10_1700
10121,2515,2515_10_1800
10121,2515,2515_10_1900
10121,2515,2515_10_2000
101210,2126,2126_06_0810
101210,2126,2126_06_0910
101210,2126,2126_06_1010
101210,2126,2126_06_1140
101210,2126,2126_06_1410
101210,2126,2126_06_1700
101210,2126,2126_06_1800
101210,2126,2126_06_1900
101210,2126,2126_06_2000
101211,2125,2125_11_0800
101211,2125,2125_11_1000
101211,2125,2125_11_1345
101211,2125,2125_11_1400
101211,2125,2125_11_1545
101211,2125,2125_11_1700
101211,2125,2125_11_1800
101211,2125,2125_11_1900
101211,2125,2125_11_2000
10122,2515,2515_10_0800
10122,2515,2515_10_1015
10122,2515,2515_10_1330
10122,2515,2515_10_1500
10122,2515,2515_10_1700
10122,2515,2515_10_1800
10122,2515,2515_10_1900
10122,2515,2515_10_2000
101222,2511,2511_10_0805
101222,2511,2511_10_1005
101222,2511,2511_10_1315
101222,2511,2511_10_1515
101222,2511,2511_10_1700
101222,2511,2511_10_1800
101222,2511,2511_10_1900
101222,2511,2511_10_2000
101228,2419,2419_30_1000
101228,2419,2419_30_1330
101228,2419,2419_30_1515
101228,2419,2419_30_1700
101228,2419,2419_30_1800
101228,2419,2419_30_1900
101228,2419,2419_30_2000
101228,2419,2419_50_0645
101228,2419,2419_50_0845
10125,2515,2515_10_0800
10125,2515,2515_10_1015
10125,2515,2515_10_1330
10125,2515,2515_10_1500
10125,2515,2515_10_1700
10125,2515,2515_10_1800
10125,2515,2515_10_1900
10125,2515,2515_10_2000
10127,2515,2515_10_0800
10127,2515,2515_10_1015
10127,2515,2515_10_1330
10127,2515,2515_10_1500
10127,2515,2515_10_1700
10127,2515,2515_10_1800
10127,2515,2515_10_1900
10127,2515,2515_10_2000
10128,2518,2518_30_0745
10128,2518,2518_30_0915
10128,2518,2518_30_1030
10128,2518,2518_30_1330
10128,2518,2518_30_1500
10128,2518,2518_30_1525
10128,2518,2518_30_1700
10128,2518,2518_30_1715
10128,2518,2518_30_1715
10128,2518,2518_30_1800
10128,2518,2518_30_1900
10128,2518,2518_30_2000
10129,2501,2501_50_0800
10129,2501,2501_50_0920
10129,2501,2501_50_1050
10129,2501,2501_50_1330
10129,2501,2501_50_1450
10129,2501,2501_50_1600
10129,2501,2501_50_1700
10129,2501,2501_50_1800
10129,2501,2501_50_1900
10129,2501,2501_50_2000
10131,2125,2125_11_0800
10131,2125,2125_11_1000
10131,2125,2125_11_1345
10131,2125,2125_11_1400
10131,2125,2125_11_1545
10131,2125,2125_11_1700
10131,2125,2125_11_1800
10131,2125,2125_11_1900
10131,2125,2125_11_2000
10132,2125,2125_13_0800
10132,2125,2125_13_1000
10132,2125,2125_13_1345
10132,2125,2125_13_1400
10132,2125,2125_13_1545
10132,2125,2125_13_1700
10132,2125,2125_13_1800
10132,2125,2125_13_1900
10132,2125,2125_13_2000
10134,2125,2125_13_0800
10134,2125,2125_13_1000
10134,2125,2125_13_1345
10134,2125,2125_13_1400
10134,2125,2125_13_1545
10134,2125,2125_13_1700
10134,2125,2125_13_1800
10134,2125,2125_13_1900
10134,2125,2125_13_2000
10135,2126,2126_03_0810
10135,2126,2126_03_1010
10135,2126,2126_03_1410
10135,2126,2126_03_1700
10135,2126,2126_03_1800
10135,2126,2126_03_1900
10135,2126,2126_03_2000
10138,2110,2110_40_0800
10138,2110,2110_40_1000
10138,2110,2110_40_1330
10138,2110,2110_40_1430
10138,2110,2110_40_1530
10138,2110,2110_40_1700
10138,2110,2110_40_1800
10138,2110,2110_40_1900
10138,2110,2110_40_2000
10146,2110,2110_40_0800
10146,2110,2110_40_1000
10146,2110,2110_40_1330
10146,2110,2110_40_1430
10146,2110,2110_40_1530
10146,2110,2110_40_1700
10146,2110,2110_40_1800
10146,2110,2110_40_1900
10146,2110,2110_40_2000
10149,2126,2126_10_0840
10149,2126,2126_10_1410
10149,2126,2126_10_1700
10149,2126,2126_10_1800
10149,2126,2126_10_1900
10149,2126,2126_10_2000
10150,2126,2126_10_0840
10150,2126,2126_10_1410
10150,2126,2126_10_1700
10150,2126,2126_10_1800
10150,2126,2126_10_1900
10150,2126,2126_10_2000
10153,2126,2126_10_0840
10153,2126,2126_10_1410
10153,2126,2126_10_1700
10153,2126,2126_10_1800
10153,2126,2126_10_1900
10153,2126,2126_10_2000
10158,2126,2126_10_0840
10158,2126,2126_10_1410
10158,2126,2126_10_1700
10158,2126,2126_10_1800
10158,2126,2126_10_1900
10158,2126,2126_10_2000
10159,2126,2126_10_0840
10159,2126,2126_10_1410
10159,2126,2126_10_1700
10159,2126,2126_10_1800
10159,2126,2126_10_1900
10159,2126,2126_10_2000
10160,2117,2117_20_0730
10160,2117,2117_20_0925
10160,2117,2117_20_1410
10160,2117,2117_20_1700
10160,2117,2117_20_1800
10160,2117,2117_20_1900
10160,2117,2117_20_2000
101608,2119,2119_93_0630
101608,2119,2119_93_0900
101608,2119,2119_93_1100
101608,2119,2119_93_1400
101608,2119,2119_93_1700
101608,2119,2119_93_1800
101608,2119,2119_93_1900
101608,2119,2119_93_2000
10161,2117,2117_20_0730
10161,2117,2117_20_0925
10161,2117,2117_20_1410
10161,2117,2117_20_1700
10161,2117,2117_20_1800
10161,2117,2117_20_1900
10161,2117,2117_20_2000
101614,2119,2119_50_0845
101614,2119,2119_50_1400
101614,2119,2119_50_1700
101614,2119,2119_50_1800
101614,2119,2119_50_1900
101614,2119,2119_50_2000
101614,2119,2119_92_0630
101614,2119,2119_92_1700
101614,2119,2119_92_1800
101614,2119,2119_92_1900
101614,2119,2119_92_2000
10163,2119,2119_93_0630
10163,2119,2119_93_0900
10163,2119,2119_93_1100
10163,2119,2119_93_1400
10163,2119,2119_93_1700
10163,2119,2119_93_1800
10163,2119,2119_93_1900
10163,2119,2119_93_2000
10166,2117,2117_20_0730
10166,2117,2117_20_0925
10166,2117,2117_20_1410
10166,2117,2117_20_1700
10166,2117,2117_20_1800
10166,2117,2117_20_1900
10166,2117,2117_20_2000
10167,2117,2117_20_0730
10167,2117,2117_20_0925
10167,2117,2117_20_1410
10167,2117,2117_20_1700
10167,2117,2117_20_1800
10167,2117,2117_20_1900
10167,2117,2117_20_2000
10169,2117,2117_20_0730
10169,2117,2117_20_0925
10169,2117,2117_20_1410
10169,2117,2117_20_1700
10169,2117,2117_20_1800
10169,2117,2117_20_1900
10169,2117,2117_20_2000
1017,2201,2201_41_0820
1017,2201,2201_42_1015
1017,2201,2201_43_1350
1017,2201,2201_44_1535
1017,2201,2201_44_1700
1017,2201,2201_44_1800
1017,2201,2201_44_1900
1017,2201,2201_44_2000
10171,2117,2117_20_0730
10171,2117,2117_20_0925
10171,2117,2117_20_1410
10171,2117,2117_20_1700
10171,2117,2117_20_1800
10171,2117,2117_20_1900
10171,2117,2117_20_2000
10175,2117,2117_20_0730
10175,2117,2117_20_0925
10175,2117,2117_20_1410
10175,2117,2117_20_1700
10175,2117,2117_20_1800
10175,2117,2117_20_1900
10175,2117,2117_20_2000
10179,2201,2201_41_0820
10179,2201,2201_42_1015
10179,2201,2201_43_1350
10179,2201,2201_44_1535
10179,2201,2201_44_1700
10179,2201,2201_44_1800
10179,2201,2201_44_1900
10179,2201,2201_44_2000
1018,2201,2201_41_0820
1018,2201,2201_42_1015
1018,2201,2201_43_1350
1018,2201,2201_44_1535
1018,2201,2201_44_1700
1018,2201,2201_44_1800
1018,2201,2201_44_1900
1018,2201,2201_44_2000
10180,2201,2201_41_0820
10180,2201,2201_42_1015
10180,2201,2201_43_1350
10180,2201,2201_44_1535
10180,2201,2201_44_1700
10180,2201,2201_44_1800
10180,2201,2201_44_1900
10180,2201,2201_44_2000
101814,2119,2119_10_0845
101814,2119,2119_10_1400
101814,2119,2119_10_1700
101814,2119,2119_10_1800
101814,2119,2119_10_1900
101814,2119,2119_10_2000
101814,2119,2119_11_1030
101814,2119,2119_11_1700
101814,2119,2119_11_1800
101814,2119,2119_11_1900
101814,2119,2119_11_2000
101814,2119,2119_12_1535
101814,2119,2119_12_1700
101814,2119,2119_12_1800
101814,2119,2119_12_1900
101814,2119,2119_12_2000
10182,2119,2119_70_0845
10182,2119,2119_70_1400
